02.03.2024,Groceries,"21,14",(Tinkoff),7,.03.24
02.03.2024,Transport,"46,59",(Tinkoff),7,.03.24
02.03.2024,Entertainment,"90,00",,7,.03.24
02.03.2024,Groceries,"39,69",,7,.03.24
02.03.2024,Health,"6,07",,7,.03.24
02.03.2024,Transport,"16,00",,7,.03.24
02.03.2024,Hobby,"190,00",Vogue Dima,7,.03.24
02.03.2024,Bad habits,"14,41",,7,.03.24
02.03.2024,Regular,"15,87",Apple bill,7,.03.24
02.03.2024,Groceries,"10,63",Вода в аэропорту,7,.03.24
02.03.2024,Regular,"31,77",iCloud,7,.03.24
02.03.2024,Groceries,"22,14",,7,.03.24
02.03.2024,Transport,"44,80",,7,.03.24
02.03.2024,Groceries,"115,75",,7,.03.24
03.03.2024,Transport,"14,60",,1,.03.24
03.03.2024,Hobby,"6,40",Бумага и ножницы,1,.03.24
03.03.2024,Groceries,"178,72",,1,.03.24
04.03.2024,Transport,"29,70",,2,.03.24
04.03.2024,Groceries,"5,80",,2,.03.24
04.03.2024,Bad habits,"7,80",,2,.03.24
04.03.2024,Transport,"7,40",,2,.03.24
04.03.2024,Groceries,"14,92",,2,.03.24
05.03.2024,Gifts,"55,00",Цветы,3,.03.24
05.03.2024,Transport,"13,00",,3,.03.24
05.03.2024,Health,"149,50",,3,.03.24
05.03.2024,Health,"140,00",Психолог,3,.03.24
05.03.2024,Groceries,"5,80",,3,.03.24
05.03.2024,Bad habits,"7,80",,3,.03.24
05.03.2024,Delivery,"66,89",,3,.03.24
06.03.2024,Hobby,"34,42",,4,.03.24
06.03.2024,Entertainment,"78,40",ludovico einaudi concert ,4,.03.24
06.03.2024,Transport,"12,60",,4,.03.24
06.03.2024,Health,"44,40",,4,.03.24
06.03.2024,Groceries,"8,52",,4,.03.24
06.03.2024,Groceries,"67,59",,4,.03.24
06.03.2024,Delivery,"24,72",,4,.03.24
07.03.2024,Bad habits,"7,80",,5,.03.24
07.03.2024,Groceries,"11,80",,5,.03.24
07.03.2024,Delivery,"24,72",,5,.03.24
08.03.2024,Bad habits,"7,80",,6,.03.24
